ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
94702,121.0%,$,"5 7,228,613",68.0%,$,"2 5,894,612",36.2%,$,"1 5,410,514",39.8%,$,"1 1,317,488",$,"8 ,094,352"
94703,185.8%,$,"9 7,870,513",108.7%,$,"3 4,248,394",5.7%,$,"1 6,413,647",-3.5%,$,"1 5,532,606",$,"1 6,098,745"
94704,128.9%,$,"1 25,282,609",42.9%,$,"5 4,734,254",39.2%,$,"3 8,312,263",56.4%,$,"2 7,519,527",$,"1 7,597,761"
94705,186.3%,$,"5 61,841,007",9.1%,$,"1 96,263,629",61.9%,$,"1 79,865,064",75.7%,$,"1 11,078,330",$,"6 3,209,489"
94706,352.6%,$,"4 5,014,498",127.3%,$,"9 ,945,036",-30.4%,$,"4 ,376,099",166.8%,$,"6 ,285,093",$,"2 ,355,472"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
94707,936.1%,$,"4 18,295,483",66.9%,$,"4 0,371,069",34.2%,$,"2 4,190,412",81.0%,$,"1 8,025,814",$,"9 ,956,381"
94708,154.6%,$,"6 92,642,197",35.0%,$,"2 72,025,543",56.4%,$,"2 01,447,974",83.6%,$,"1 28,819,199",$,"7 0,154,333"
94709,271.2%,$,"6 3,135,967",29.3%,$,"1 7,008,310",9.7%,$,"1 3,156,208",9.6%,$,"1 1,994,718",$,"1 0,940,480"
94710,84.0%,$,"3 3,135,114",37.1%,$,"1 8,008,432",1.1%,$,"1 3,133,622",4.1%,$,"1 2,991,077",$,"1 2,482,784"
94720,0.0%,$,"5 ,000",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95364,32.9%,$,"1 10,477,321",13.5%,$,"8 3,138,840",33.9%,$,"7 3,270,416",31.4%,$,"5 4,715,777",$,"4 1,631,076"
96120,19.5%,$,"1 66,235,239",31.5%,$,"1 39,143,585",34.0%,$,"1 05,778,744",32.0%,$,"7 8,919,011",$,"5 9,786,513"
95601,0.0%,$,"3 7,717,256",0.0%,$,-,0.0%,$,-,0.0%,$,-,$,-
95629,26.3%,$,"1 80,077,384",24.0%,$,"1 42,615,948",18.5%,$,"1 15,054,296",53.3%,$,"9 7,077,306",$,"6 3,332,100"
95640,118.4%,$,"1 68,823,345",73.9%,$,"7 7,297,769",74.9%,$,"4 4,440,292",95.1%,$,"2 5,415,199",$,"1 3,027,258"
