ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
90041,42.1%,$,"1 97,340,064",14.4%,$,"1 38,857,886",4.1%,$,"1 21,406,568",7.2%,$,"1 16,650,343",$,"1 08,793,185"
90042,25.7%,$,"4 26,145,898",12.1%,$,"3 39,048,058",8.6%,$,"3 02,366,855",-1.5%,$,"2 78,310,271",$,"2 82,539,493"
90043,32.2%,$,"4 11,322,299",8.6%,$,"3 11,149,201",5.6%,$,"2 86,517,641",-2.2%,$,"2 71,245,219",$,"2 77,314,803"
90044,26.0%,$,"8 68,588,405",11.0%,$,"6 89,508,134",5.2%,$,"6 21,354,081",0.3%,$,"5 90,818,311",$,"5 88,825,102"
90045,12.9%,$,"3 0,685,224",42.0%,$,"2 7,173,734",1.0%,$,"1 9,139,871",20.1%,$,"1 8,942,204",$,"1 5,767,751"
90046,6.0%,$,"3 ,024,374,642",16.1%,$,"2 ,853,313,770",30.2%,$,"2 ,457,013,270",33.2%,$,"1 ,886,399,625",$,"1 ,416,509,479"
90047,38.1%,$,"5 33,707,301",11.8%,$,"3 86,532,706",4.1%,$,"3 45,657,342",1.0%,$,"3 32,093,752",$,"3 28,909,725"
90048,103.7%,$,"1 37,874,020",13.2%,$,"6 7,686,052",-8.9%,$,"5 9,808,293",8.1%,$,"6 5,619,901",$,"6 0,700,199"
90049,61.7%,$,"3 ,644,617,582",18.5%,$,"2 ,254,618,253",38.3%,$,"1 ,902,102,721",50.1%,$,"1 ,375,219,495",$,"9 16,505,598"
90056,102.7%,$,"4 5,820,265",44.9%,$,"2 2,601,906",-4.0%,$,"1 5,599,315",-19.8%,$,"1 6,246,692",$,"2 0,250,128"
90057,9.8%,$,"8 9,687,348",17.3%,$,"8 1,702,204",50.2%,$,"6 9,636,230",11.0%,$,"4 6,375,814",$,"4 1,773,700"
90058,69.7%,$,"1 60,108,035",80.8%,$,"9 4,361,050",64.6%,$,"5 2,190,436",59.1%,$,"3 1,713,684",$,"1 9,937,901"
90059,14.9%,$,"3 05,186,287",4.2%,$,"2 65,698,545",5.0%,$,"2 55,023,983",5.1%,$,"2 42,886,130",$,"2 31,203,284"
90061,16.7%,$,"2 24,079,124",10.1%,$,"1 92,013,226",8.4%,$,"1 74,406,516",6.4%,$,"1 60,855,270",$,"1 51,165,188"
90062,12.9%,$,"4 26,638,652",12.4%,$,"3 77,804,802",0.6%,$,"3 36,243,352",2.2%,$,"3 34,114,304",$,"3 26,915,117"
90063,18.2%,$,"5 70,397,878",5.7%,$,"4 82,704,547",3.1%,$,"4 56,568,917",4.5%,$,"4 42,972,389",$,"4 23,847,797"
90064,132.5%,$,"8 2,985,116",47.0%,$,"3 5,695,431",0.1%,$,"2 4,280,925",2.0%,$,"2 4,250,612",$,"2 3,785,403"
90065,34.2%,$,"5 56,537,072",15.0%,$,"4 14,607,836",13.6%,$,"3 60,567,818",2.1%,$,"3 17,525,374",$,"3 10,854,719"
90066,67.7%,$,"9 2,976,341",47.6%,$,"5 5,442,475",0.8%,$,"3 7,573,949",7.8%,$,"3 7,290,771",$,"3 4,581,799"
90067,86.5%,$,"5 ,858,815",196.7%,$,"3 ,141,645",-7.2%,$,"1 ,058,932",76.6%,$,"1 ,141,448",$,"6 46,435"
90068,17.4%,$,"2 ,026,669,207",21.0%,$,"1 ,726,224,742",29.2%,$,"1 ,426,587,916",22.9%,$,"1 ,104,410,603",$,"8 98,923,944"
90069,23.9%,$,"6 18,357,831",17.0%,$,"4 99,021,112",41.3%,$,"4 26,401,620",56.6%,$,"3 01,669,562",$,"1 92,655,935"
90071,-100.0%,$,-,7.8%,$,"8 83,895",0.0%,$,"8 19,750",0.0%,$,-,$,-
90077,21.3%,$,"3 ,546,395,306",14.1%,$,"2 ,923,169,918",30.9%,$,"2 ,561,635,350",50.6%,$,"1 ,956,877,289",$,"1 ,299,566,779"
90089,-32.9%,$,"1 ,395,458",-15.7%,$,"2 ,079,470",-9.8%,$,"2 ,465,662",6.1%,$,"2 ,733,341",$,"2 ,575,809"
90094,591.5%,$,"7 ,946,889",169.1%,$,"1 ,149,250",69.1%,$,"4 27,050",0.0%,$,"2 52,500",$,-
90095,-100.0%,$,-,7.2%,$,"9 09,563",0.0%,$,"8 48,209",0.0%,$,-,$,-
90201,31.3%,$,"4 66,245,927",15.0%,$,"3 55,075,150",9.6%,$,"3 08,749,161",7.1%,$,"2 81,641,387",$,"2 62,925,854"
90210,13.3%,$,"4 ,953,876,587",16.3%,$,"4 ,373,971,797",37.3%,$,"3 ,761,970,318",56.1%,$,"2 ,739,336,991",$,"1 ,755,054,955"
90211,70.8%,$,"7 0,077,214",41.0%,$,"4 1,040,353",7.5%,$,"2 9,099,584",0.3%,$,"2 7,060,880",$,"2 6,977,118"
90212,162.9%,$,"1 01,172,323",14.5%,$,"3 8,478,689",47.0%,$,"3 3,607,525",43.2%,$,"2 2,857,458",$,"1 5,956,924"
90220,36.7%,$,"3 39,594,102",11.9%,$,"2 48,402,023",4.0%,$,"2 21,895,649",2.0%,$,"2 13,313,318",$,"2 09,101,786"
90221,29.8%,$,"4 14,924,075",9.3%,$,"3 19,736,000",0.0%,$,"2 92,520,534",1.7%,$,"2 92,492,116",$,"2 87,544,227"
90222,13.7%,$,"2 38,530,418",8.7%,$,"2 09,866,846",2.8%,$,"1 93,031,008",3.2%,$,"1 87,818,180",$,"1 81,928,717"
90230,56.2%,$,"4 8,383,291",11.7%,$,"3 0,984,637",16.4%,$,"2 7,744,952",3.3%,$,"2 3,832,971",$,"2 3,064,481"
90232,42.0%,$,"3 2,387,083",42.0%,$,"2 2,813,140",-7.3%,$,"1 6,066,463",-2.4%,$,"1 7,336,339",$,"1 7,765,518"
90240,107.5%,$,"1 47,435,565",15.3%,$,"7 1,068,726",0.8%,$,"6 1,623,225",1.7%,$,"6 1,113,426",$,"6 0,074,374"
90241,47.5%,$,"1 18,440,960",14.6%,$,"8 0,295,478",6.2%,$,"7 0,080,262",-3.1%,$,"6 5,974,880",$,"6 8,056,099"
90242,32.1%,$,"1 06,781,765",15.9%,$,"8 0,821,665",-1.2%,$,"6 9,708,416",2.5%,$,"7 0,554,184",$,"6 8,834,409"
90245,69.3%,$,"2 5,292,242",475.5%,$,"1 4,936,872",-35.3%,$,"2 ,595,250",6.0%,$,"4 ,013,513",$,"3 ,785,740"
90247,14.6%,$,"1 17,442,056",32.2%,$,"1 02,522,797",-0.6%,$,"7 7,562,350",6.7%,$,"7 8,037,546",$,"7 3,136,518"
90248,48.8%,$,"3 9,431,043",4.3%,$,"2 6,498,707",13.8%,$,"2 5,401,131",-13.8%,$,"2 2,324,613",$,"2 5,891,279"
90249,38.6%,$,"6 5,371,737",25.3%,$,"4 7,160,704",-0.9%,$,"3 7,623,594",-6.8%,$,"3 7,958,704",$,"4 0,722,171"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year o,ver Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
90250,38.6%,$,"1 94,114,498",9.9%,$,"1 40,022,790",5.2%,$,"1 27,465,696",-3.6%,$,"1 21,179,281",$,"1 25,679,790"
90254,330.1%,$,"4 8,568,392",16.1%,$,"1 1,291,595",7.1%,$,"9 ,727,877",1.7%,$,"9 ,080,750",$,"8 ,927,453"
90255,23.9%,$,"5 27,641,642",13.9%,$,"4 25,953,746",5.1%,$,"3 73,807,599",4.8%,$,"3 55,605,503",$,"3 39,379,040"
90260,34.3%,$,"6 7,391,533",5.4%,$,"5 0,178,269",5.7%,$,"4 7,607,594",-1.9%,$,"4 5,048,545",$,"4 5,939,948"
90262,22.4%,$,"4 17,857,302",9.7%,$,"3 41,409,399",7.5%,$,"3 11,247,182",7.5%,$,"2 89,513,932",$,"2 69,245,699"
90265,27.6%,$,"5 ,015,319,484",17.9%,$,"3 ,931,158,397",31.3%,$,"3 ,333,174,729",64.8%,$,"2 ,538,757,472",$,"1 ,540,429,888"
90266,105.4%,$,"8 0,669,435",37.6%,$,"3 9,275,157",31.8%,$,"2 8,544,099",16.9%,$,"2 1,650,679",$,"1 8,521,171"
90270,20.2%,$,"1 51,563,484",6.8%,$,"1 26,083,453",7.1%,$,"1 18,090,619",9.2%,$,"1 10,280,672",$,"1 00,993,528"
90272,117.2%,$,"3 ,192,861,347",31.2%,$,"1 ,470,176,225",38.2%,$,"1 ,120,456,423",82.4%,$,"8 10,829,892",$,"4 44,637,386"
90274,85.7%,$,"2 82,673,939",95.9%,$,"1 52,182,537",30.0%,$,"7 7,672,161",24.2%,$,"5 9,741,194",$,"4 8,082,263"
90275,147.4%,$,"2 56,313,042",33.9%,$,"1 03,596,842",15.2%,$,"7 7,393,568",16.4%,$,"6 7,164,828",$,"5 7,709,853"
90277,135.1%,$,"4 7,361,049",26.6%,$,"2 0,141,506",8.7%,$,"1 5,906,220",13.3%,$,"1 4,628,735",$,"1 2,915,639"
90278,95.5%,$,"5 5,632,151",87.3%,$,"2 8,461,083",48.6%,$,"1 5,195,522",-13.9%,$,"1 0,226,142",$,"1 1,878,419"
90280,32.0%,$,"5 88,580,735",8.5%,$,"4 46,012,372",9.3%,$,"4 11,152,732",7.6%,$,"3 76,004,882",$,"3 49,561,651"
90290,7.1%,$,"2 ,591,139,501",12.7%,$,"2 ,419,275,314",13.6%,$,"2 ,145,830,711",25.1%,$,"1 ,888,148,513",$,"1 ,509,413,953"
90291,53.8%,$,"1 24,085,611",47.1%,$,"8 0,697,622",-6.9%,$,"5 4,842,699",5.4%,$,"5 8,891,915",$,"5 5,897,845"
90292,353.8%,$,"4 1,000,695",-8.1%,$,"9 ,034,393",3.6%,$,"9 ,830,999",6.5%,$,"9 ,493,921",$,"8 ,910,599"
90293,354.9%,$,"3 7,955,476",101.7%,$,"8 ,342,895",-18.9%,$,"4 ,136,867",9.4%,$,"5 ,101,747",$,"4 ,665,057"
90301,25.9%,$,"1 74,085,637",19.2%,$,"1 38,221,356",6.9%,$,"1 15,929,816",4.5%,$,"1 08,439,416",$,"1 03,761,172"
90302,23.7%,$,"1 19,747,290",13.9%,$,"9 6,787,081",3.2%,$,"8 4,976,842",1.3%,$,"8 2,348,687",$,"8 1,297,736"
90303,47.8%,$,"1 45,958,009",17.2%,$,"9 8,775,078",2.7%,$,"8 4,314,884",8.2%,$,"8 2,116,242",$,"7 5,884,187"
90304,31.2%,$,"1 47,667,468",15.8%,$,"1 12,515,332",2.0%,$,"9 7,134,917",3.7%,$,"9 5,227,952",$,"9 1,844,111"
90305,36.3%,$,"7 7,835,608",1.2%,$,"5 7,093,108",4.6%,$,"5 6,425,411",-1.1%,$,"5 3,944,847",$,"5 4,530,782"
90401,17.8%,$,"1 2,412,828",2122.3%,$,"1 0,533,470",-68.6%,$,"4 74,000",-34.8%,$,"1 ,511,667",$,"2 ,319,271"
90402,168.3%,$,"1 98,190,964",91.1%,$,"7 3,881,609",15.2%,$,"3 8,660,984",37.0%,$,"3 3,565,770",$,"2 4,496,352"
90403,122.3%,$,"4 9,430,481",0.3%,$,"2 2,232,778",-4.2%,$,"2 2,167,745",88.6%,$,"2 3,131,800",$,"1 2,265,503"
90404,96.0%,$,"4 4,023,811",55.9%,$,"2 2,457,167",-1.0%,$,"1 4,407,844",30.3%,$,"1 4,554,600",$,"1 1,168,331"
90405,23.0%,$,"6 5,306,673",98.1%,$,"5 3,091,105",1.7%,$,"2 6,801,805",6.5%,$,"2 6,353,230",$,"2 4,736,626"
90501,32.9%,$,"5 7,943,220",10.3%,$,"4 3,597,637",2.4%,$,"3 9,539,549",16.7%,$,"3 8,628,579",$,"3 3,107,045"
90502,39.1%,$,"3 0,137,398",3.5%,$,"2 1,673,106",79.1%,$,"2 0,934,494",-3.5%,$,"1 1,685,734",$,"1 2,105,929"
90503,263.4%,$,"5 3,013,122",25.3%,$,"1 4,588,325",11.0%,$,"1 1,642,126",-7.2%,$,"1 0,489,446",$,"1 1,304,900"
90504,91.6%,$,"2 5,170,318",58.0%,$,"1 3,137,459",-17.6%,$,"8 ,313,069",-17.8%,$,"1 0,084,147",$,"1 2,270,332"
90505,216.0%,$,"5 7,525,667",10.2%,$,"1 8,202,139",30.1%,$,"1 6,523,506",19.0%,$,"1 2,697,112",$,"1 0,673,247"
90601,46.4%,$,"3 12,873,689",32.2%,$,"2 13,686,372",18.0%,$,"1 61,690,744",6.8%,$,"1 37,043,741",$,"1 28,345,471"
90602,37.9%,$,"1 38,657,023",13.4%,$,"1 00,577,647",11.3%,$,"8 8,696,759",13.9%,$,"7 9,691,823",$,"6 9,968,924"
90603,83.4%,$,"6 5,251,483",35.7%,$,"3 5,587,152",0.5%,$,"2 6,231,079",43.8%,$,"2 6,093,086",$,"1 8,139,528"
90604,12.3%,$,"5 9,000,719",20.1%,$,"5 2,533,835",2.9%,$,"4 3,727,731",14.5%,$,"4 2,488,644",$,"3 7,092,482"
90605,16.2%,$,"1 68,995,428",11.3%,$,"1 45,429,503",4.4%,$,"1 30,708,017",9.9%,$,"1 25,211,027",$,"1 13,884,343"
90606,3.7%,$,"1 06,530,455",19.0%,$,"1 02,727,668",5.2%,$,"8 6,298,869",0.8%,$,"8 2,036,855",$,"8 1,351,936"
90638,68.1%,$,"7 7,923,065",38.1%,$,"4 6,359,729",8.2%,$,"3 3,566,972",-4.5%,$,"3 1,015,108",$,"3 2,473,908"
90640,45.7%,$,"2 37,822,153",17.9%,$,"1 63,262,253",3.6%,$,"1 38,532,971",4.3%,$,"1 33,751,423",$,"1 28,235,255"
90650,43.1%,$,"2 62,049,040",9.7%,$,"1 83,116,425",10.6%,$,"1 66,993,186",-0.4%,$,"1 50,962,384",$,"1 51,626,057"
90660,11.2%,$,"2 16,407,497",19.0%,$,"1 94,613,764",-3.0%,$,"1 63,475,495",7.0%,$,"1 68,569,070",$,"1 57,511,612"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
90670,172.6%,$,"6 6,474,695",40.0%,$,"2 4,384,542",0.4%,$,"1 7,422,912",2.8%,$,"1 7,354,942",$,"1 6,884,385"
90701,49.4%,$,"3 6,447,854",-8.5%,$,"2 4,392,838",16.6%,$,"2 6,646,447",6.1%,$,"2 2,848,645",$,"2 1,536,945"
90703,133.2%,$,"8 3,623,632",43.6%,$,"3 5,851,544",-13.5%,$,"2 4,968,579",-4.5%,$,"2 8,874,686",$,"3 0,229,863"
90704,28.7%,$,"4 09,697,158",33.6%,$,"3 18,355,462",81.8%,$,"2 38,268,188",51.6%,$,"1 31,088,605",$,"8 6,452,744"
90706,39.4%,$,"1 41,675,787",12.3%,$,"1 01,640,003",2.4%,$,"9 0,532,425",4.3%,$,"8 8,378,713",$,"8 4,750,232"
90710,111.5%,$,"6 8,000,342",22.4%,$,"3 2,145,667",1.4%,$,"2 6,270,616",10.9%,$,"2 5,920,560",$,"2 3,369,937"
90712,105.9%,$,"5 1,789,055",57.4%,$,"2 5,157,483",-6.7%,$,"1 5,985,670",-11.6%,$,"1 7,137,763",$,"1 9,388,722"
90713,21.9%,$,"1 7,345,492",5.1%,$,"1 4,230,071",-1.5%,$,"1 3,535,495",14.2%,$,"1 3,747,293",$,"1 2,032,731"
90715,21.5%,$,"4 0,418,423",28.4%,$,"3 3,253,872",-7.3%,$,"2 5,898,454",6.3%,$,"2 7,925,795",$,"2 6,271,315"
90716,7.1%,$,"3 4,114,432",10.8%,$,"3 1,861,436",-1.3%,$,"2 8,766,807",-1.6%,$,"2 9,151,148",$,"2 9,636,435"
90717,38.0%,$,"3 4,815,519",2.9%,$,"2 5,220,842",22.3%,$,"2 4,502,709",-4.9%,$,"2 0,036,491",$,"2 1,079,376"
90723,35.8%,$,"1 51,299,583",13.5%,$,"1 11,425,982",8.0%,$,"9 8,151,155",3.6%,$,"9 0,912,015",$,"8 7,785,626"
90731,34.8%,$,"1 47,346,489",27.9%,$,"1 09,335,354",5.9%,$,"8 5,464,723",-3.8%,$,"8 0,676,966",$,"8 3,841,487"
90732,139.7%,$,"3 3,314,473",14.3%,$,"1 3,898,535",0.6%,$,"1 2,164,976",-15.5%,$,"1 2,090,337",$,"1 4,313,759"
90744,20.0%,$,"1 75,534,130",13.7%,$,"1 46,228,768",2.1%,$,"1 28,658,634",5.4%,$,"1 25,963,221",$,"1 19,547,276"
90745,57.4%,$,"1 14,131,213",16.0%,$,"7 2,512,963",0.0%,$,"6 2,523,359",-3.9%,$,"6 2,531,063",$,"6 5,079,306"
90746,68.5%,$,"1 57,891,544",13.4%,$,"9 3,702,546",6.8%,$,"8 2,604,283",10.8%,$,"7 7,362,225",$,"6 9,804,629"
90755,119.3%,$,"3 1,133,245",34.9%,$,"1 4,197,971",13.9%,$,"1 0,526,044",-21.9%,$,"9 ,239,555",$,"1 1,828,539"
90802,43.8%,$,"6 6,431,861",38.3%,$,"4 6,203,483",15.2%,$,"3 3,416,397",3.2%,$,"2 9,018,911",$,"2 8,108,030"
90803,171.3%,$,"6 2,704,003",17.6%,$,"2 3,115,561",54.1%,$,"1 9,648,767",7.7%,$,"1 2,751,679",$,"1 1,842,262"
90804,53.5%,$,"9 2,188,068",32.7%,$,"6 0,056,837",21.1%,$,"4 5,272,921",0.7%,$,"3 7,391,516",$,"3 7,136,582"
90805,26.3%,$,"2 58,394,242",14.3%,$,"2 04,607,082",6.1%,$,"1 79,038,901",-4.2%,$,"1 68,671,554",$,"1 76,006,861"
90806,23.4%,$,"1 31,899,654",15.4%,$,"1 06,877,680",6.6%,$,"9 2,588,335",14.1%,$,"8 6,831,171",$,"7 6,092,836"
90807,112.4%,$,"7 6,201,983",8.2%,$,"3 5,878,476",8.8%,$,"3 3,153,051",3.6%,$,"3 0,471,787",$,"2 9,418,673"
90808,105.6%,$,"2 7,404,738",54.1%,$,"1 3,326,395",9.2%,$,"8 ,650,012",32.7%,$,"7 ,918,716",$,"5 ,969,547"
90810,26.1%,$,"1 01,756,837",9.4%,$,"8 0,678,525",3.0%,$,"7 3,713,216",2.8%,$,"7 1,594,599",$,"6 9,665,414"
90813,31.7%,$,"1 76,711,234",27.6%,$,"1 34,149,510",6.0%,$,"1 05,104,300",7.0%,$,"9 9,179,853",$,"9 2,660,163"
90814,58.9%,$,"5 4,564,569",91.6%,$,"3 4,333,005",-0.2%,$,"1 7,914,759",-21.6%,$,"1 7,957,962",$,"2 2,895,474"
90815,101.3%,$,"1 8,373,733",-28.6%,$,"9 ,129,695",1.8%,$,"1 2,784,876",20.1%,$,"1 2,564,518",$,"1 0,458,114"
91001,47.2%,$,"9 49,313,983",27.9%,$,"6 45,109,130",11.6%,$,"5 04,548,851",7.7%,$,"4 52,022,247",$,"4 19,783,494"
91006,111.1%,$,"4 52,049,724",47.7%,$,"2 14,103,533",2.3%,$,"1 44,971,802",11.1%,$,"1 41,721,841",$,"1 27,507,980"
91007,117.5%,$,"2 19,095,320",47.3%,$,"1 00,718,295",14.4%,$,"6 8,391,805",13.9%,$,"5 9,770,756",$,"5 2,460,351"
91008,39.8%,$,"2 28,084,754",19.5%,$,"1 63,126,436",6.9%,$,"1 36,561,952",25.5%,$,"1 27,764,082",$,"1 01,807,634"
91010,106.3%,$,"2 00,235,309",24.8%,$,"9 7,044,714",7.0%,$,"7 7,780,274",-3.7%,$,"7 2,677,341",$,"7 5,492,375"
91011,98.9%,$,"1 ,426,634,112",34.7%,$,"7 17,320,317",20.5%,$,"5 32,443,724",16.5%,$,"4 41,868,116",$,"3 79,204,704"
91016,59.6%,$,"4 83,827,618",39.7%,$,"3 03,196,917",5.1%,$,"2 16,960,630",4.4%,$,"2 06,439,654",$,"1 97,719,163"
91020,176.3%,$,"6 7,165,410",43.1%,$,"2 4,307,518",37.3%,$,"1 6,991,885",18.3%,$,"1 2,379,523",$,"1 0,468,189"
91024,48.4%,$,"3 99,994,996",19.7%,$,"2 69,595,576",5.5%,$,"2 25,174,518",0.6%,$,"2 13,428,597",$,"2 12,230,829"
91030,73.2%,$,"2 18,161,884",42.7%,$,"1 25,986,597",8.5%,$,"8 8,303,998",1.4%,$,"8 1,365,708",$,"8 0,234,357"
91040,59.7%,$,"6 35,109,148",33.3%,$,"3 97,688,740",10.2%,$,"2 98,335,751",14.3%,$,"2 70,752,893",$,"2 36,930,453"
91042,44.4%,$,"8 39,210,690",32.2%,$,"5 81,295,711",8.6%,$,"4 39,590,395",5.6%,$,"4 04,823,008",$,"3 83,320,186"
91101,1.5%,$,"3 3,806,276",49.8%,$,"3 3,302,114",27.5%,$,"2 2,235,401",-14.2%,$,"1 7,442,958",$,"2 0,327,581"
91103,25.8%,$,"3 58,929,888",27.1%,$,"2 85,267,355",22.1%,$,"2 24,396,088",13.0%,$,"1 83,753,770",$,"1 62,588,578"
,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,
1) All figures as of,09/30/2024. Totals,by re,port may vary based on data,source.,,,,,,,,,,
ZIP Code Year,over Year Growth,T,otal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure Year ov,er Year Growth,To,tal Exposure,Tot,al Exposure
Total,61.2%,$,"458,023,820,951",35.1%,$ 2,"84,064,942,611",31.0%,$ 2,"10,278,307,795",35.7%,$ 1,"60,556,622,391",$ 1,"18,353,073,728"
91104,71.4%,$,"2 03,319,265",15.7%,$,"1 18,591,953",9.9%,$,"1 02,525,435",-1.2%,$,"9 3,282,678",$,"9 4,451,803"
91105,27.1%,$,"4 30,027,350",34.0%,$,"3 38,224,145",43.6%,$,"2 52,417,854",37.6%,$,"1 75,824,806",$,"1 27,744,763"
91106,77.7%,$,"6 9,545,095",26.0%,$,"3 9,136,691",23.9%,$,"3 1,071,619",-3.1%,$,"2 5,083,992",$,"2 5,891,819"
91107,98.3%,$,"5 72,128,745",27.7%,$,"2 88,537,715",5.0%,$,"2 25,894,490",17.9%,$,"2 15,237,884",$,"1 82,524,395"
91108,103.6%,$,"1 56,670,906",4.2%,$,"7 6,953,917",30.9%,$,"7 3,817,426",1.1%,$,"5 6,385,187",$,"5 5,784,795"
91201,117.0%,$,"1 85,292,421",32.2%,$,"8 5,404,863",4.4%,$,"6 4,598,533",0.9%,$,"6 1,898,358",$,"6 1,351,010"
91202,99.7%,$,"3 41,372,456",28.4%,$,"1 70,947,163",13.8%,$,"1 33,094,868",5.7%,$,"1 16,955,839",$,"1 10,645,425"
91203,150.8%,$,"4 3,369,105",48.5%,$,"1 7,293,942",-9.4%,$,"1 1,647,504",0.2%,$,"1 2,852,531",$,"1 2,828,479"
91204,46.6%,$,"3 8,837,124",29.2%,$,"2 6,483,025",10.9%,$,"2 0,495,564",-2.5%,$,"1 8,477,300",$,"1 8,953,687"
91205,41.9%,$,"8 8,816,571",27.5%,$,"6 2,609,704",17.7%,$,"4 9,097,675",-3.3%,$,"4 1,707,842",$,"4 3,121,881"
91206,24.4%,$,"8 25,964,488",22.4%,$,"6 63,978,385",12.0%,$,"5 42,500,476",10.9%,$,"4 84,449,050",$,"4 36,821,489"
91207,106.3%,$,"4 30,796,309",25.7%,$,"2 08,870,535",23.0%,$,"1 66,138,226",14.4%,$,"1 35,073,812",$,"1 18,117,640"
91208,76.6%,$,"9 58,149,798",31.5%,$,"5 42,700,181",13.3%,$,"4 12,768,921",1.5%,$,"3 64,202,871",$,"3 58,886,767"
91214,118.0%,$,"7 33,289,259",53.1%,$,"3 36,354,685",23.1%,$,"2 19,700,162",-3.1%,$,"1 78,462,705",$,"1 84,259,839"
91301,96.0%,$,"1 ,945,171,244",38.3%,$,"9 92,195,002",26.3%,$,"7 17,378,857",52.6%,$,"5 68,116,970",$,"3 72,177,916"
91302,102.9%,$,"3 ,896,822,143",32.0%,$,"1 ,920,395,378",27.5%,$,"1 ,455,381,382",49.0%,$,"1 ,141,302,351",$,"7 65,894,346"
91303,40.3%,$,"5 6,158,913",18.4%,$,"4 0,026,942",6.3%,$,"3 3,799,573",15.7%,$,"3 1,792,401",$,"2 7,481,367"
91304,112.4%,$,"6 83,198,469",31.6%,$,"3 21,657,917",17.6%,$,"2 44,424,184",24.0%,$,"2 07,776,401",$,"1 67,572,234"
91306,66.8%,$,"1 72,837,691",26.9%,$,"1 03,594,479",10.8%,$,"8 1,631,199",0.7%,$,"7 3,704,995",$,"7 3,205,791"
91307,63.1%,$,"1 ,011,010,596",34.5%,$,"6 20,010,512",75.1%,$,"4 60,884,435",26.8%,$,"2 63,268,467",$,"2 07,705,718"
91311,121.5%,$,"8 04,150,288",31.7%,$,"3 63,126,401",21.8%,$,"2 75,693,990",32.0%,$,"2 26,432,539",$,"1 71,495,218"
91316,198.1%,$,"9 49,872,424",41.7%,$,"3 18,610,417",25.5%,$,"2 24,769,967",84.4%,$,"1 79,104,612",$,"9 7,111,838"
91321,125.8%,$,"8 75,296,960",65.4%,$,"3 87,561,966",34.1%,$,"2 34,381,740",42.0%,$,"1 74,744,201",$,"1 23,051,253"
91324,69.3%,$,"9 7,683,092",46.1%,$,"5 7,715,187",0.6%,$,"3 9,507,045",2.3%,$,"3 9,281,333",$,"3 8,397,204"
91325,66.4%,$,"1 57,683,055",21.4%,$,"9 4,750,680",21.9%,$,"7 8,024,880",23.5%,$,"6 3,991,556",$,"5 1,797,227"
91326,161.2%,$,"8 99,561,125",107.6%,$,"3 44,454,597",13.0%,$,"1 65,960,427",32.7%,$,"1 46,883,714",$,"1 10,721,602"
91330,0.0%,$,-,0.0%,$,-,0.0%,$,-,-100.0%,$,-,$,"5 70,000"
91331,33.4%,$,"5 44,825,145",18.5%,$,"4 08,488,583",8.9%,$,"3 44,751,011",1.4%,$,"3 16,539,046",$,"3 12,065,174"
91335,51.9%,$,"2 93,847,162",22.5%,$,"1 93,393,025",8.4%,$,"1 57,900,985",2.0%,$,"1 45,729,799",$,"1 42,838,017"
91340,53.4%,$,"2 19,373,244",21.8%,$,"1 42,993,263",6.2%,$,"1 17,361,249",0.3%,$,"1 10,557,325",$,"1 10,174,581"
91342,62.4%,$,"1 ,174,602,115",46.7%,$,"7 23,219,729",13.5%,$,"4 92,907,728",20.0%,$,"4 34,394,906",$,"3 61,974,107"
91343,38.2%,$,"2 05,509,650",35.9%,$,"1 48,682,522",7.7%,$,"1 09,426,916",6.1%,$,"1 01,607,735",$,"9 5,760,246"
91344,98.5%,$,"5 91,958,947",27.6%,$,"2 98,248,152",17.9%,$,"2 33,781,601",4.2%,$,"1 98,352,985",$,"1 90,330,674"
91345,76.1%,$,"1 01,097,420",26.9%,$,"5 7,402,644",4.8%,$,"4 5,229,334",-0.2%,$,"4 3,142,609",$,"4 3,235,744"
91350,119.9%,$,"6 87,553,815",53.8%,$,"3 12,656,397",23.3%,$,"2 03,269,365",52.5%,$,"1 64,813,038",$,"1 08,038,979"
91351,157.7%,$,"4 17,238,645",82.6%,$,"1 61,911,672",9.2%,$,"8 8,685,386",33.9%,$,"8 1,209,298",$,"6 0,647,906"
