zip,expos_24,expos_23,expos_22,expos_21,expos_20
96103,423565099,330579622,227200272,180344779,132186084
96104,7281287,3984833,768746,698120,1210539
96105,30518864,20004530,15129594,11786942,9211745
96106,133514078,120104673,86675934,57684710,45221150
96107,16233717,10219461,6913021,1198093,1216391
96108,5709918,1718563,279820,80625,75000
96109,11359295,9356352,9576250,4456226,1471266
96110,1250809,0,0,0,0
96111,21911025,19932562,15042398,13623570,12941044
96112,4721385,2942988,2827073,687000,275000
96113,3356387,1685285,0,0,0
96114,150693207,66920361,36608492,22102699,18700199
96115,8045521,2060448,0,0,0
96116,5144431,2369575,419550,0,0
96117,2574405,0,0,37500,0
96118,48247040,26662578,16751229,10766037,10596434
96119,171320,1045857,1036022,943241,331923
96120,166235239,139143585,105778744,78919011,59786513
96121,12757556,5975074,4946974,3904671,2240027
96122,435996018,320523034,202358370,163514455,117598880
96123,0,0,0,0,695765
96124,59892055,41803480,32924082,23812529,17631413
96125,123098044,97984271,78294058,59132002,38817507
96126,41488164,27299165,13280709,10166416,3961724
96128,2305190,2017000,1170480,0,0
96129,14448486,10228335,3983572,3351755,2066315
96130,308595111,119479411,55427940,38309038,25982905
96132,440150,192000,0,0,0
96133,1716750,1346784,678177,644200,0
96134,3752870,2686441,1511750,2224557,1032714
96136,471200,0,1167331,0,0
96137,876005888,735873938,495872879,406336480,281382730
96140,896411659,696875536,463324397,262613761,112024501
96141,777372607,453856707,247164429,170585624,92025561
96142,848976358,578229060,298375170,191110172,97762085
96143,609339801,480986047,385754654,267951072,154629648
96145,1881322975,1356405979,1091059198,874810309,448051627
96146,1388753745,1050933063,841917656,693874350,366504653
96148,555417335,425859202,268180029,173566935,83194850
96150,4783124758,3640070509,2512784011,1922491089,1232468649
96161,8012298571,6279600125,4428551571,2834526212,1779570914
97635,1928543,1294087,1294087,1294087,0
