ZIP,exposure_Sep24,exposure_Sep23,exposure_Sep22,exposure_Sep21,exposure_Sep20,policies_Sep24,policies_Sep23,policies_Sep22,policies_Sep21,policies_Sep20
92223,1068017406,491802109,298717391,193865202,129337034,1269,644,402,283,219
92225,35071773,12570889,5667102,4507343,3672376,108,38,22,18,16
92227,41546185,15042355,10870424,9287310,6060599,81,27,23,25,24
92230,36995283,19563601,12474242,3825230,2777034,103,62,37,14,12
92231,60057458,32504243,24524481,22453924,24338012,126,91,87,91,106
92233,4112403,1619908,1473391,331466,565953,6,4,4,2,3
92234,83745803,16965317,9201577,9328614,11177790,137,23,21,24,30
92236,24506701,6206396,6486747,6874983,7004459,33,14,17,19,21
92239,1895158,421600,0,0,0,6,1,0,0,0
92240,105594609,29590917,18142393,15286351,13421867,193,69,48,51,55
92241,52153912,16684024,8660516,5961681,5317220,119,34,21,16,16
92242,12602712,2201869,1300010,1496857,1022625,36,7,6,7,7
92243,88286982,45496829,31885049,25056204,21461451,127,88,86,83,83
92249,4063533,2139606,506296,840812,1271006,9,6,3,5,5
92250,8882862,3715941,2289329,5989087,1672222,14,8,5,7,5
92251,17380886,7478820,6545262,6976042,6221921,29,15,14,17,16
92252,111197767,43923967,24720758,16443562,14573330,185,84,53,45,45
92253,89431764,24116197,14095257,9116657,9536198,69,15,11,10,14
92254,6237007,3067264,1931198,1144355,1136560,16,11,8,6,6
92256,76466118,35881126,18122668,14676234,11251060,138,66,39,35,40
92257,4256883,2259706,854105,809127,780468,14,8,3,3,4
92258,3796489,576739,540617,512075,487183,8,2,2,2,2
92259,389574,366643,809680,772239,741243,1,1,2,2,2
92260,84160372,18598966,13840389,6532173,4954314,113,24,19,12,15
92262,109786786,38109324,17592540,9125500,7510343,97,28,17,16,16
92264,146633617,36191370,19464244,9428094,9295046,146,26,14,10,10
92266,1244730,0,0,0,0,2,0,0,0,0
92267,4578517,274724,70064,66500,0,22,2,1,1,0
92268,48780645,39002789,18763668,0,0,59,53,31,0,0
92270,121560295,33736621,17423753,12865949,10756225,79,20,10,10,12
92273,3775682,0,0,0,0,11,0,0,0,0
92274,36362943,14132349,8142343,7050381,3850678,52,24,17,15,16
92275,569611,0,0,0,0,3,0,0,0,0
92276,23471432,7289404,3108221,3487679,2493435,45,23,21,23,20
92277,76593285,28234009,16101929,16142128,9277523,160,70,42,55,39
92280,930020,247500,154773,147400,265970,5,1,1,1,2
92281,1589527,1061803,608862,554086,523133,5,4,3,3,3
92282,37559856,25768238,20051200,13532324,9796466,75,51,41,39,35
92283,3449202,2175970,1444843,1379714,1521151,2,3,2,2,3
92284,239919475,95888223,26573643,40859361,29277765,387,161,67,102,95
92285,30427444,23077259,16544763,14389974,13706693,82,69,56,55,56
92301,228266541,65846636,35302715,28429569,24909462,353,147,96,98,96
92304,502500,0,0,0,48986,0,0,0,0,1
92305,179137498,162102840,145957461,126759303,103239568,276,262,245,223,205
92307,210440837,50499958,25932323,21194329,24925035,295,98,57,57,66
92308,210638808,53476465,33595497,22716394,18715519,328,109,81,63,57
92309,1638164,1639456,243000,0,0,3,3,1,0,0
92311,78387627,33854011,18762875,15753902,16757535,131,54,50,45,48
92313,127502297,41029543,22131913,20219447,12995036,138,44,22,25,18
92314,3035435908,2668034769,2230605915,1535611820,1185309569,4872,4668,4226,3274,2718
92315,3990845147,3553720151,2943783379,2141778158,1535919086,5175,4987,4524,3681,2760
92316,128640705,63707662,48280356,42546337,37662929,233,146,126,126,120
